nama_sekolah,status_sekolah,kapasitas_pagu_siswa,jml_rombel,peringkat_akreditasi,jml_rpp_mapel,jml_r_kelas,jml_r_perpus,jml_lab_ipa,jml_r_pimpinan,jml_r_guru,jml_t_ibadah,jml_r_uks,jml_jamban,jml_gudang,jml_r_sirkulasi,jml_t_olahraga,jml_r_kelas_baik,jml_r_perpus_baik,jml_lab_ipa_baik,jml_r_pimpinan_baik,jml_r_guru_baik,jml_t_ibadah_baik,jml_r_uks_baik,jml_jamban_baik,jml_gudang_baik,jml_r_sirkulasi_baik,jml_t_olahraga_baik,is_bopda
SMP MUHAMMADIYAH 14 SURABAYA,1,337,10,A,1650,11,1,1,1,1,1,0,3,0,0,0,11,1,1,1,1,1,0,3,0,0,0,1
SMP MUHAMMADIYAH 15 SURABAYA,1,601,20,A,3300,18,1,1,1,3,1,1,4,2,0,1,18,1,1,1,3,1,1,4,2,0,1,1
SMP MUHAMMADIYAH 16 SURABAYA,1,140,6,B,990,1,1,1,1,1,1,1,2,0,0,0,1,1,1,1,1,1,1,2,0,0,0,1
SMP MUHAMMADIYAH 17 SURABAYA,1,127,7,A,1155,1,1,1,1,1,1,1,2,1,0,1,1,1,1,1,1,1,1,2,1,0,1,1
SMP MUHAMMADIYAH 18,1,124,6,B,990,3,1,1,1,0,1,0,2,0,0,0,3,1,1,0,0,0,0,2,0,0,0,1
SMP MUHAMMADIYAH 2 SURABAYA,1,574,19,A,3135,21,1,1,1,1,1,1,2,0,0,0,21,1,1,1,1,1,1,2,0,0,0,1
SMP MUHAMMADIYAH 3 SURABAYA,1,126,7,B,1155,3,1,1,1,1,1,1,4,0,0,0,3,1,1,1,1,1,1,4,0,0,0,1
SMP MUHAMMADIYAH 4,1,270,10,A,1650,2,1,1,1,1,1,1,2,1,0,0,2,1,0,1,1,1,1,2,1,0,0,1
SMP MUHAMMADIYAH 5 SURABAYA,1,605,22,A,3630,2,1,1,1,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMP MUHAMMADIYAH 6 SURABAYA,1,152,6,A,990,8,1,1,1,1,1,1,2,0,0,0,8,1,1,1,1,1,1,2,0,0,0,1
SMP MUHAMMADIYAH 7 SURABAYA,1,213,9,A,1485,8,1,1,1,1,1,1,4,0,0,0,8,1,1,1,1,1,0,4,0,0,0,1
SMP MUHAMMADIYAH 9 SURABAYA,1,250,10,A,1650,9,1,0,1,1,0,1,6,0,0,0,8,0,0,1,1,0,0,2,0,0,0,1
SMP NASIONAL SURABAYA,1,76,3,B,495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SMP NATION STAR ACADEMY,1,269,12,A,1980,12,1,0,1,1,1,1,2,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
SMP NEGERI 1 SURABAYA,0,1057,31,A,5115,44,2,2,2,4,1,1,6,2,0,2,40,2,1,2,3,1,1,6,0,0,0,0
SMP NEGERI 10 SURABAYA,0,990,29,A,4785,64,2,0,2,2,2,2,7,3,0,0,52,1,0,2,1,2,1,6,0,0,0,0
SMP NEGERI 11 SURABAYA,0,919,30,A,4950,47,2,2,2,2,2,2,8,2,0,2,12,1,0,0,0,2,0,0,0,0,0,0
SMP NEGERI 12 SURABAYA,0,1044,30,A,4950,65,2,0,2,2,5,2,0,4,0,6,39,0,0,1,1,3,1,0,0,0,0,0
SMP NEGERI 13 SURABAYA,0,960,31,A,5115,61,2,1,2,2,2,2,53,2,8,2,38,1,0,0,1,0,0,20,0,2,0,0
SMP NEGERI 14 SURABAYA,0,980,30,A,4950,60,2,2,2,2,2,2,18,4,4,2,3,2,0,1,0,0,0,0,2,0,1,0
SMP NEGERI 15 SURABAYA,0,1015,31,A,5115,60,2,2,2,2,2,2,17,3,0,0,40,1,0,1,0,1,0,8,0,0,0,0
SMP NEGERI 16 SURABAYA,0,1014,33,A,5445,66,2,2,2,2,2,2,9,2,0,2,11,0,0,0,0,0,0,6,0,0,0,0
SMP NEGERI 17 SURABAYA,0,909,32,A,5280,61,3,5,4,2,2,2,5,0,0,2,14,0,2,3,1,0,0,2,0,0,1,0
SMP NEGERI 18 SURABAYA,0,773,25,A,4125,55,2,2,3,2,3,2,31,3,2,1,40,0,1,1,0,1,0,29,0,1,0,0
SMP NEGERI 19 SURABAYA,0,1231,31,A,5115,68,2,2,2,2,2,2,40,7,0,2,48,0,1,2,0,1,1,37,3,0,2,0
SMP NEGERI 2 SURABAYA,0,951,30,A,4950,62,2,2,2,2,2,2,4,2,0,2,30,0,0,0,0,0,0,4,0,0,0,0
SMP NEGERI 20 SURABAYA,0,1044,32,A,5280,33,1,1,2,2,2,1,20,2,0,2,22,0,0,1,0,1,0,14,0,0,0,0
SMP NEGERI 21 SURABAYA,0,977,30,A,4950,67,2,2,2,2,2,2,4,2,0,0,48,1,1,2,1,2,2,4,1,0,0,0
SMP NEGERI 22 SURABAYA,0,1016,31,A,5115,69,2,2,2,2,1,2,15,2,0,2,28,1,2,2,1,0,1,13,0,0,1,0
SMP NEGERI 23 SURABAYA,0,892,27,A,4455,39,1,0,2,2,2,2,2,12,2,4,23,1,0,1,0,0,0,0,1,0,0,0
SMP NEGERI 24 SURABAYA,0,819,27,A,4455,54,2,2,2,2,2,2,6,16,4,2,2,1,1,0,0,0,0,0,3,0,0,0
SMP NEGERI 25 SURABAYA,0,1083,32,A,5280,68,2,1,2,2,2,2,11,2,0,0,44,0,0,0,0,0,0,11,0,0,0,0
SMP NEGERI 26 SURABAYA,0,1005,30,A,4950,50,4,4,2,2,2,2,17,4,0,2,0,0,0,0,0,0,0,16,0,0,0,0
SMP NEGERI 27 SURABAYA,0,921,28,A,4620,30,2,1,2,2,2,2,14,2,0,4,15,0,0,0,0,0,0,5,1,0,0,0
SMP NEGERI 28 SURABAYA,0,1033,32,A,5280,63,3,2,2,2,2,2,31,3,9,1,38,0,1,1,1,0,2,19,2,2,0,0
SMP NEGERI 29 SURABAYA,0,1054,31,A,5115,64,2,2,2,2,3,2,34,6,0,5,28,0,0,1,1,2,1,29,0,0,0,0
SMP NEGERI 3 SURABAYA,0,891,27,A,4455,52,2,0,2,6,2,2,4,6,0,2,12,1,0,2,2,0,1,4,0,0,0,0
SMP NEGERI 30 SURABAYA,0,957,30,A,4950,62,2,2,2,2,4,2,2,4,0,2,1,0,0,0,1,2,0,2,0,0,0,0
SMP NEGERI 31 SURABAYA,0,922,30,A,4950,61,2,2,4,4,2,4,5,2,0,2,31,1,0,2,2,1,1,3,0,0,0,0
SMP NEGERI 32 SURABAYA,0,922,29,A,4785,58,2,2,2,2,2,2,9,2,4,2,37,1,0,1,1,0,0,7,0,0,0,0
SMP NEGERI 33 SURABAYA,0,769,25,A,4125,50,2,2,2,2,2,1,7,0,2,2,16,0,0,1,1,0,0,4,0,0,0,0
SMP NEGERI 34 SURABAYA,0,823,27,A,4455,56,2,2,2,2,2,3,25,0,0,2,1,0,0,0,0,0,2,11,0,0,0,0
SMP NEGERI 35 SURABAYA,0,1025,32,A,5280,63,2,2,4,2,2,2,6,6,0,2,29,1,1,3,2,1,1,3,3,0,1,0
SMP NEGERI 36 SURABAYA,0,790,26,A,4290,53,2,2,2,2,2,2,10,4,2,2,36,1,0,0,0,1,1,9,2,0,0,0
SMP NEGERI 37 SURABAYA,0,832,26,A,4290,52,2,2,2,4,2,2,52,2,2,4,36,1,1,1,2,1,2,29,1,1,2,0
SMP NEGERI 38 SURABAYA,0,651,21,A,3465,42,2,2,2,2,2,2,10,6,4,2,21,1,1,2,1,1,1,4,0,2,0,0
SMP NEGERI 39 SURABAYA,0,878,27,A,4455,56,2,2,2,2,0,2,5,2,0,2,39,1,1,1,1,0,1,5,0,0,1,0
SMP NEGERI 4 SURABAYA,0,746,23,A,3795,43,2,2,2,2,3,2,7,4,0,0,31,0,0,0,0,0,1,6,0,0,0,0
SMP NEGERI 40 SURABAYA,0,804,27,A,4455,53,2,2,2,2,2,2,10,6,2,2,27,0,1,0,0,1,1,5,0,0,1,0
SMP NEGERI 41 SURABAYA,0,766,25,A,4125,50,2,0,2,2,2,2,8,2,0,0,1,0,0,0,0,0,1,8,1,0,0,0
SMP NEGERI 42 SURABAYA,0,957,29,A,4785,59,2,2,2,6,1,2,8,2,1,2,8,1,1,0,1,1,0,6,0,1,0,0
SMP NEGERI 43 SURABAYA,0,840,27,A,4455,53,2,2,1,2,2,2,52,6,0,0,38,0,0,1,0,0,0,25,3,0,0,0
SMP NEGERI 44 SURABAYA,0,758,24,A,3960,46,2,2,2,2,2,2,10,4,0,4,28,1,2,1,1,1,1,4,2,0,0,0
SMP NEGERI 45 SURABAYA,0,994,33,A,5445,61,2,0,2,2,2,2,37,4,0,0,46,0,0,0,0,0,1,36,0,0,0,0
SMP NEGERI 46 SURABAYA,0,1034,30,A,4950,65,2,2,2,2,1,2,14,2,0,2,28,1,1,0,1,1,0,9,0,0,0,0
SMP NEGERI 47 SURABAYA,0,846,26,A,4290,52,2,2,3,2,3,2,16,3,0,4,22,0,0,1,1,0,1,13,0,0,0,0
SMP NEGERI 48 SURABAYA,0,829,24,A,3960,30,2,2,2,2,2,2,30,4,2,2,15,1,1,1,1,1,1,19,0,0,0,0
SMP NEGERI 49 SURABAYA,0,648,21,A,3465,45,2,0,2,2,2,0,5,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0
SMP NEGERI 5 SURABAYA,0,836,26,A,4290,53,2,2,2,6,4,2,8,13,0,2,1,0,0,0,0,0,0,8,0,0,0,0
SMP NEGERI 50 SURABAYA,0,818,25,A,4125,47,2,0,3,2,0,2,16,2,0,2,0,0,0,1,0,0,0,5,0,0,0,0
SMP NEGERI 51 SURABAYA,0,522,18,A,2970,37,2,0,3,2,0,2,7,2,0,2,19,0,0,0,0,0,1,0,0,0,0,0
SMP NEGERI 52 SURABAYA,0,593,19,A,3135,33,2,2,2,2,0,2,11,4,0,2,26,0,0,0,0,0,0,0,0,0,0,0
SMP NEGERI 53 SURABAYA,0,808,25,A,4125,44,2,2,2,4,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
SMP NEGERI 54 SURABAYA,0,867,26,A,4290,51,2,3,2,2,1,2,6,2,0,2,2,1,0,1,1,0,0,4,1,0,0,0
SMP NEGERI 55 SURABAYA,0,531,17,A,2805,37,2,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMP NEGERI 56 SURABAYA,0,751,21,A,3465,37,2,1,2,2,1,2,12,2,0,2,25,0,1,0,0,1,0,2,0,0,0,0
SMP NEGERI 58 SURABAYA,0,856,26,A,4290,38,2,2,3,2,4,2,11,4,0,2,19,1,1,2,1,2,1,6,2,0,1,0
SMP NEGERI 59 SURABAYA,0,518,18,A,2970,38,2,2,2,2,2,2,6,2,0,2,17,1,0,0,1,1,1,6,1,0,0,0
SMP NEGERI 6 SURABAYA,0,1030,32,A,5280,60,2,2,2,2,1,2,7,5,0,0,41,2,1,0,0,0,0,7,4,0,0,0
SMP NEGERI 60 SURABAYA,0,865,26,A,4290,39,2,0,2,2,3,2,8,2,0,1,34,2,0,1,1,2,2,8,1,0,1,0
SMP NEGERI 61 SURABAYA,0,686,21,B,3465,29,1,1,1,1,0,1,2,0,0,0,21,1,1,0,0,0,0,2,0,0,0,0
SMP NEGERI 62 SURABAYA,0,437,15,B,2475,19,2,0,1,2,3,1,12,2,1,1,14,0,0,0,0,0,0,12,0,0,0,0
SMP NEGERI 63 SURABAYA,0,302,11,A,1815,12,1,1,1,1,1,1,2,1,3,2,3,0,0,0,0,1,0,0,0,0,0,0
SMP NEGERI 7 SURABAYA,0,828,26,A,4290,52,2,2,2,2,2,2,7,2,0,2,0,0,0,0,0,0,0,4,0,0,0,0
SMP NEGERI 8 SURABAYA,0,646,21,A,3465,40,2,2,2,2,2,2,8,8,0,2,8,0,0,0,0,0,0,4,0,0,0,0
SMP NEGERI 9 SURABAYA,0,965,28,A,4620,60,2,2,2,2,2,2,10,3,0,1,33,0,1,0,0,0,0,9,0,0,1,0
SMP NOOR MUSHOLLA SURABAYA,1,75,3,B,495,3,1,1,1,1,1,1,3,0,0,0,3,1,1,1,1,1,1,3,0,0,0,1
SMP PANCA JAYA,1,360,11,A,1815,11,1,1,1,1,1,1,4,1,0,1,5,1,0,1,1,1,0,0,0,0,1,1
SMP PANGLIMA SUDIRMAN SURABAYA,1,91,5,A,825,3,1,1,1,1,1,1,2,0,0,0,3,1,1,1,1,1,1,2,0,0,0,1
SMP PAWIYATAN SURABAYA,1,610,17,A,2805,1,1,1,1,1,1,1,2,0,0,0,1,1,1,1,1,1,1,2,0,0,0,1
SMP PGRI 1 SURABAYA,1,654,19,A,3135,21,1,1,1,1,1,1,4,1,0,0,19,1,1,1,1,1,1,4,1,0,0,1
SMP PGRI 13 SURABAYA,1,49,3,B,495,3,1,0,1,1,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1
SMP PGRI 17 SURABAYA,1,45,3,B,495,3,1,1,1,1,1,1,3,0,0,0,3,1,1,1,1,1,1,3,0,0,0,1
SMP PGRI 22 SURABAYA,1,99,4,B,660,3,1,1,1,1,1,1,5,0,0,0,3,1,1,1,1,1,1,5,0,0,0,1
SMP PGRI 29 SURABAYA,1,28,5,B,825,1,1,1,1,1,1,1,4,0,0,0,1,1,1,1,1,1,1,2,0,0,0,1
SMP PGRI 6 SURABAYA,1,79,3,B,495,4,1,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SMP PGRI 61 SURABAYA,1,41,4,B,660,1,1,1,1,1,1,1,3,0,0,0,1,1,0,1,1,1,0,3,0,0,0,1
SMP PGRI 64 SURABAYA,1,48,4,B,660,3,0,1,0,0,0,1,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,1
SMP PGRI 8 SURABAYA,1,70,3,B,495,3,1,1,1,1,1,1,3,1,0,1,3,1,1,1,1,1,1,3,1,0,1,1
SMP RADEN RAHMAT SURABAYA,1,87,3,B,495,3,1,1,1,1,1,1,4,0,0,0,3,1,0,1,1,1,1,4,0,0,0,1
SMP RAHMAT SURABAYA,1,492,17,A,2805,11,1,0,1,1,0,1,3,0,0,0,11,1,0,1,1,0,1,3,0,0,0,1
SMP ROMLY TAMIM SURABAYA,1,91,4,A,660,1,1,1,1,1,1,1,2,1,0,0,1,1,1,1,1,1,1,2,1,0,0,1
SMP SANTO CAROLUS SURABAYA,1,320,11,A,1815,10,1,1,1,1,1,1,2,0,0,0,10,1,1,1,1,1,1,2,0,0,0,0
SMP SANTO YOSEF SURABAYA,1,277,9,A,1485,2,1,1,1,1,1,1,4,1,0,1,0,0,1,0,0,1,0,4,0,0,0,0
SMP SASANA BHAKTI SURABAYA,1,47,3,B,495,3,1,1,1,1,1,1,4,0,0,0,3,1,1,1,1,1,1,4,0,0,0,1
SMP SEBELAS MARET SURABAYA,1,34,3,B,495,1,1,1,1,1,1,1,2,0,0,0,1,1,1,1,1,1,1,2,0,0,0,1
SMP SEKOLAH ALAM INSAN MULIA,1,137,6,A,990,7,1,1,1,1,1,1,4,0,0,0,7,1,1,1,1,1,1,4,0,0,0,0
SMP SHAFTA SURABAYA,1,142,6,A,990,7,1,1,1,1,1,1,4,0,0,1,4,0,0,0,0,0,0,0,0,0,0,1
SMP SITI AMINAH SURABAYA,1,198,8,A,1320,7,1,0,1,1,1,0,1,0,0,0,7,1,0,1,1,1,0,1,0,0,0,1
SMP SPK SPINS INTERACTIONAL SCHOOL,1,152,7,B,1155,6,1,1,1,1,1,1,2,0,0,0,6,1,1,1,1,1,1,2,0,0,0,0
SMP SURABAYA CAMBRIDGE SCHOOL,1,404,12,A,1980,12,1,1,1,2,2,1,10,2,0,1,7,0,1,0,0,0,0,4,0,0,0,0
SMP SURABAYA EUROPEAN SCHOOL,1,48,3,A,495,1,1,1,1,1,1,1,4,0,0,0,1,1,1,1,1,1,1,4,0,0,0,0
SMP SURABAYA INTERCULTURAL SCHOOL,1,47,5,B,825,3,1,1,1,1,1,1,2,0,0,0,3,1,1,1,1,1,1,2,0,0,0,0
SMP TA`MIRIYAH SURABAYA,1,212,6,A,990,2,1,1,1,1,0,1,3,0,0,0,2,1,1,1,1,0,1,3,0,0,0,0
SMP TAMAN BELAJAR,1,102,4,B,660,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1
SMP TAMAN PELAJAR SURABAYA,1,775,24,A,3960,24,1,1,1,1,1,1,4,0,0,0,23,1,1,1,1,1,1,4,0,0,0,1
SMP TAMANSISWA / TAMAN DEWASA SURABAYA,1,85,4,B,660,3,1,1,1,1,1,1,5,0,0,0,3,1,1,1,1,1,1,5,0,0,0,1
SMP TANWIR SURABAYA,1,328,13,A,2145,10,1,1,1,1,1,1,4,0,0,0,10,1,1,1,1,1,1,4,0,0,0,1
SMP TARUNA JAYA I SURABAYA,1,519,17,A,2805,1,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SMP TARUNA SURABAYA,1,23,3,A,495,1,1,1,1,1,1,1,4,0,0,0,1,1,1,1,1,1,1,4,0,0,0,1
SMP TASBAYA SURABAYA,1,200,8,A,1320,1,1,1,1,1,1,1,3,1,0,0,1,1,1,1,1,1,1,3,1,0,0,1
SMP TENGGILIS JAYA SURABAYA,1,15,2,A,330,1,1,1,1,1,1,1,2,0,0,0,1,1,1,1,1,1,1,2,0,0,0,1
SMP TRI GUNA BHAKTI SURABAYA,1,175,6,A,990,6,1,1,1,1,1,1,4,1,0,0,6,1,1,1,1,1,1,4,1,0,0,1
SMP TRI SHAKTI SURABAYA,1,111,5,B,825,6,1,0,1,1,1,1,6,0,0,0,6,1,0,1,1,1,1,6,0,0,0,1
SMP TRI TUNGGAL 2,1,44,4,B,660,1,1,1,1,1,1,1,2,1,0,0,1,1,1,1,1,1,1,2,1,0,0,0
SMP TRI TUNGGAL 5 SURABAYA,1,132,6,B,990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMP TUNAS BANGSA SURABAYA,1,68,3,B,495,3,1,1,1,1,1,1,2,0,0,0,3,1,1,1,1,1,1,2,0,0,0,1
SMP TUNAS BUANA SURABAYA,1,172,6,A,990,1,1,0,1,1,1,1,5,0,0,0,1,1,0,1,1,1,1,5,0,0,0,1
SMP TUNAS SAWUNGGALING SURABAYA,1,46,4,B,660,4,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
SMP UNGGULAN AMANATUL UMMAH,1,1307,34,A,5610,32,1,1,0,1,0,0,0,0,0,0,32,1,1,0,1,0,0,0,0,0,0,1
SMP UNGGULAN BAITUL FATTAH,1,302,11,B,1815,9,1,1,1,1,1,1,2,0,0,0,1,1,1,1,1,1,1,2,0,0,0,1
SMP UNGGULAN BINA INSANI,1,198,8,A,1320,9,1,1,1,1,1,1,4,0,0,0,9,0,0,0,0,0,0,4,0,0,0,1
SMP VITA,1,170,9,A,1485,12,1,1,1,1,1,1,2,0,0,0,12,1,1,1,1,1,1,2,0,0,0,0
SMP WACHID HASJIM 5 SURABAYA,1,129,6,B,990,5,1,1,1,1,1,1,3,0,0,0,5,1,1,1,1,1,1,3,0,0,0,1
SMP WACHID HASYIM 1 SURABAYA,1,771,25,A,4125,2,1,1,1,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SMP WACHID HASYIM 2 SURABAYA,1,71,3,B,495,1,1,1,1,1,1,1,2,0,0,0,1,1,0,0,0,0,1,2,0,0,0,1
SMP WACHID HASYIM 4 SURABAYA,1,114,6,B,990,1,1,1,1,1,1,1,4,0,0,0,1,1,1,1,1,1,1,4,0,0,0,1
SMP WACHID HASYIM 7 SURABAYA,1,672,22,A,3630,12,1,1,1,1,1,1,4,1,0,0,12,1,1,1,1,1,1,4,1,0,0,1
SMP WARDHANI SURABAYA,1,101,4,B,660,1,1,1,1,1,1,1,3,0,0,0,1,1,1,1,1,1,1,3,0,0,0,1
SMP WIDYA DARMA SURABAYA,1,94,3,B,495,3,1,1,1,1,1,1,3,0,0,0,3,1,1,1,1,1,1,3,0,0,0,1
SMP WIJAYA PUTRA SURABAYA,1,260,9,A,1485,1,1,1,1,1,1,1,2,0,0,0,1,1,1,1,1,1,1,2,0,0,0,1
SMP WIJAYA SURABAYA,1,150,8,B,1320,4,1,1,1,1,1,1,3,1,0,0,4,1,1,1,1,1,1,3,1,0,0,1
SMP YAMASSA SURABAYA,1,115,5,A,825,2,1,1,1,1,1,1,3,0,0,0,2,1,1,1,1,1,1,3,0,0,0,1
SMP YAPITA SURABAYA,1,282,12,A,1980,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1
SMP YP 17 SURABAYA,1,718,23,A,3795,3,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
SMP YPP NURUL HUDA,1,214,9,A,1485,2,1,1,1,1,1,1,4,0,0,0,2,1,1,1,1,1,1,4,0,0,0,1
SMP YPPI - 1 SURABAYA,1,131,6,A,990,5,1,0,1,1,1,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
SMP YPPI - 3 SURABAYA,1,116,6,A,990,6,1,1,1,1,1,1,4,1,0,1,6,1,1,1,1,1,1,4,0,0,1,1
SMP-IT AL USWAH,1,286,13,A,2145,11,1,1,1,3,1,1,2,2,0,0,11,1,1,0,2,1,1,2,1,0,0,0
SMPK ANGELUS CUSTOS SURABAYA,1,398,16,A,2640,1,1,1,1,1,1,1,5,1,0,1,1,1,1,1,1,1,1,5,1,0,1,0
SMPK Santa Katarina,1,163,6,A,990,6,1,1,1,1,1,1,2,0,0,0,6,1,1,1,1,1,1,2,0,0,0,0
SMPS KREATIF AN-NUR,1,169,8,A,1320,2,1,1,1,1,1,1,4,0,0,0,2,1,1,1,1,1,1,4,0,0,0,1
SMPS KRISTEN FILADELFIA SCHOOL,1,47,5,B,825,3,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMPS XIN ZHONG,1,315,13,A,2145,1,1,1,0,1,1,1,8,0,0,1,1,1,1,0,1,1,1,8,0,0,1,0
SMPTK HAPPY FAMILY SCHOOL,1,56,5,A,825,1,1,1,1,1,1,1,2,0,0,0,1,1,1,1,1,1,1,2,0,0,0,0
